Country,Year,GDP growth (annual %),Labor force,Gross capital formation (% of GDP),Industry (% of GDP),Industry (% of employment),Manufacturing (% of GDP),Manufacturing (% of employment),Services (% of GDP),Services (% of employment),Agriculture (% of GDP),Agriculture (% of employment),Trade (% of GDP),Broad money (% of GDP),Political stability
"Congo, Dem. Rep.",2015,6.91616712035345,27914047.0,18.52712019627603,41.70486389885408,9.332404,17.128657296139853,6.119309078515134,33.10437481278019,32.32500396514571,18.3703885046967,58.34259533878843,59.33243096430871,12.290349366099544,-2.15085434913635
"Congo, Dem. Rep.",2016,2.3993989141368672,28894272.0,17.39993589784826,41.16138162900787,9.325257,18.26439236250317,6.167882504239535,33.82743725176294,32.54749809920648,18.59975364024441,58.12724601150385,55.925210263658386,14.006684867790185,-2.23462152481079
"Congo, Dem. Rep.",2017,3.7269476533326724,29889916.0,24.987678381753003,42.191716222881794,9.427813,19.487038082348043,6.189144220908409,33.75029293237607,32.80672111063511,19.702697496749213,57.765465121662004,74.29137961719545,12.67280109633979,-2.30224871635437
"Congo, Dem. Rep.",2018,5.821121099893389,30828284.0,20.600959616449924,43.2552601071892,9.67767,18.21351465804847,6.174653319734409,33.11472214874487,33.293022621790215,18.887343185982093,57.02931440019725,69.91972915047981,12.414752713177212,-2.10578107833862
"Congo, Dem. Rep.",2019,4.384528881038818,31751451.0,20.594539679555126,39.651915840137235,9.657775,19.477919452111482,6.176982317481975,35.85903910982771,34.07408195925328,19.43498870668129,56.26813871195664,55.235158039140394,,-1.59389889240265
"Congo, Dem. Rep.",2020,1.7354227636006954,32445875.0,24.602280952327998,41.21359588626294,9.772702,18.991229662584267,6.358274149131228,35.70764289494151,34.31616992825842,20.883418884375317,55.91112333159221,58.491757328202254,,-1.74229800701141
"Congo, Dem. Rep.",2021,6.200154010759462,33725417.0,27.521323625776763,45.34203534747236,10.02869,17.72089052348389,6.4851735494263085,33.182839859785155,34.6875017870375,19.04363012934513,55.28381092922918,80.4813114206906,,-1.61466693878174
Kenya,1991,1.4383467917155883,8920637.0,20.970514858597515,17.003510866773837,13.90287,10.412546574546324,11.398541521845301,,39.02262354078591,24.320148172027523,47.07449058613799,55.59769922436536,30.981928613264714,
Kenya,1992,-0.7994939586413494,9238191.0,16.920839083240626,15.846070726597913,13.82085,9.307076684075675,11.337773457415047,,39.139800110471455,24.78128722381902,47.039348319171836,52.93087010382862,36.517796397030615,
Kenya,1993,0.3531972562272472,9560700.0,17.610435059721617,14.367019669865346,13.72196,8.510982885422257,11.26582401650271,,39.302516165930946,26.808013408841074,46.97553027821294,72.8584813635643,37.065232147999076,
Kenya,1994,2.6327845178369955,9892867.0,19.29324296766807,14.552057088776198,13.65548,9.023959259769098,11.213260251036933,,39.53791015322301,28.11535668120958,46.80661458557434,71.26612522931075,38.01600913748456,
Kenya,1995,4.406216524822867,10229142.0,21.819761103442843,13.556517932674325,13.57341,8.363447202684728,11.135717577046451,,39.833014363535106,26.349619562131167,46.59357216962597,71.74574164030346,42.23226877618722,
Kenya,1996,4.146839268760132,10565712.0,15.003822685531063,16.3920534652717,13.51712,11.859482149657412,11.07896084502197,,40.1702866256978,27.49252178058657,46.31259675376461,57.312110703810184,35.79169110956718,-0.656428635120392
Kenya,1997,0.4749019212935792,10913310.0,15.140988143780515,15.926383171515996,13.37243,11.568284580423802,10.956719373649186,,40.46376453316141,27.693937399472684,46.16380568466139,54.057116860289256,38.42265325912973,
Kenya,1998,3.2902137224906483,11272302.0,16.692716407763818,15.542163321886179,13.26718,10.929960477578849,10.834847626484002,,40.8431100714827,27.74491360097376,45.889703777334894,48.89724194007533,35.80718380476352,-0.907693862915039
Kenya,1999,2.305388595224116,11659977.0,15.521414867468533,14.915302558375027,13.12875,10.14458011385098,10.67224465477235,,41.2161294806203,28.744079613055785,45.655127355012,48.19227498890953,35.77079783091403,
Kenya,2000,0.5996953908074261,12114213.0,17.414090615451098,15.015856028556382,12.90276,10.315580745611763,10.376261007640394,,41.530599497684676,28.721780641290472,45.566641994577374,53.309044386227335,35.16472735184325,-1.06835269927979
Kenya,2001,3.7799064979534336,12601491.0,18.79034052425896,15.309624091250818,12.7723,9.779939836564823,10.116779842627777,,42.04532802035071,27.849260111289613,45.18236688398023,55.94683602866438,35.240744132139014,
Kenya,2002,0.5468595301755954,13103364.0,15.138215889346156,15.453561180366881,12.60017,9.823609462483569,9.856594328316788,,42.45482613454218,25.853967603945634,44.9450016545415,55.17267226400534,38.15891037115126,-1.18801403045654
Kenya,2003,2.932475545709039,13606235.0,16.482149389193328,15.623150041262363,12.5066,9.70902523630876,9.630358615300954,,42.90732343901627,25.8044393708329,44.58608372698307,54.132265895729034,39.023164222323736,-1.26386892795563
Kenya,2004,5.104299776297381,14125163.0,16.96249555648502,16.205077338740622,12.52065,10.000792573974225,9.455784194585,,43.400502368321355,24.92904108750566,44.07884629714465,59.47700334842886,39.32702744064131,-1.08735477924347
Kenya,2005,5.906666079800573,14646884.0,17.649684790478375,17.012626039661658,12.52458,10.53608575111692,9.308797608130567,,43.96885987739923,24.236274700241925,43.506558157609824,64.47886616397959,38.906714649324556,-1.25050592422485
Kenya,2006,6.472494300154835,15171370.0,18.633585404403018,19.38410593536877,12.59009,12.68935539013373,9.132760334888976,50.35667850493088,44.671066928898576,20.519687804940922,42.73883386486002,55.23648512573032,34.60156878964803,-1.12698328495026
Kenya,2007,6.8507297699878364,15697007.0,20.45697838890854,19.302168081515365,12.69909,12.790439858897837,8.97205749275369,50.227647861876434,45.34104741911923,20.586664460299094,41.95986033011807,53.89478880460585,36.06481968344746,-1.30544221401215
Kenya,2008,0.23228274481297717,16235546.0,19.612711422769827,18.58277172744253,12.62923,12.095770618326274,8.748956179007635,50.12476551091436,45.808096153037965,22.196340157982615,41.562682394902765,57.57859864731311,36.10549914129126,-1.39361536502838
